Item,Sentence,all,a lot (of),,,,
6397:25:00,"but there's going  to be [SOME] negatives anywhere, you know, no matter where you go .",,,,,,
23861:102,"and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop [SOME] scallions and a little ginger and just cover it with some, uh, waxed paper and steam it just until the fish is done,",,,,,,
10895:45,"well as, it, as i recall it got [SOME] academy awards, didn't it.",,,,,,
91758:53,"and he really, this man really shed [SOME] light on, um, some, aspects of of bach's genius and, and, and, you know, the, and more sociological things, you know, like the, the idea that, um, that music, to be a musician was as much, um, of a family occupation as anything.",,,,,,
138037:56,"i think we need  to get back to the, show [SOME] respect",,,,,,
176628:53,"i i built it  two levels and with a big toy box and [SOME] benches and, uh, a backrest and all that stuff.",,,,,,
95400:23,"um, well, i actually do [SOME] work,  working at m i t and at nist, national institute of standards and technology in washington,",,,,,,
9584:73,"when i, when i started  thinking about this , that those are [SOME] of my favorite shows,",,,,,,
64564:10,they have [SOME] pretty nice weather out there in los angeles.,,,,,,
50235:53,"and, and, and i don't have any doubt that through [SOME] back channels that we encouraged it. you know.",,,,,,
142141:14,"i have got [SOME] of those too,",,,,,,
37283:73,"but, uh, even now, i would, i would like  to not have  to work in [SOME] ways.",,,,,,
43642:11,what are [SOME] other ones i've seen  lately .,,,,,,
77358:19,"and, um, did [SOME] shopping and stuff.",,,,,,
108972:69,"and it consisted of, of grilled kielbasa sausage uh, a potato salad with olive oil, and uh, [SOME] tomatoes that  had been chopped  up with onions and curry powder",,,,,,
164404:48,"but, then, you know, i think that, that [SOME] murderers don't really warrant capital punishment. you know, just, like, for example, uh, you know, you hear about cases where women have killed their husbands who  abused them",,,,,,
100571:7,"and [SOME] of them, i think  unconsciously do it, you know, as a just, you know, half seni-,",,,,,,
94747:14,there have been [SOME] really wild shows put on there.,,,,,,
146612:75,"well, it is like, wel-, the one that i worked in , uh, you would see [SOME] of them just like in wheelchairs all day,",,,,,,
55919:10,"it gave [SOME] folks [SOME] jobs,",,,,,,
8930:19:00,"so, those things they take [SOME] time to make .",,,,,,
147582:28,"and it 's just too bad that [SOME] people, you know, still look down on them just because of their color. you know.",,,,,,
92716:8,"just [SOME] of the times they're continued ,",,,,,,
104230:49,"it's kind of haunting, you know, on, on [SOME] of the notes.",,,,,,
115742:25,"i, i do [SOME] things.",,,,,,
96261:16,and i can take [SOME] real great tours to europe.,,,,,,
118309:83,"that's, y-, count your blessings because uh, it really is good when someone can do [SOME] things to a car themselves .",,,,,,
83449:32,"uh, i know in [SOME] cases now in [SOME] states, depending on the criminal code, uh, a unanimous verdict is not required .",,,,,,
2767:14:00,"i've done [SOME] of the other speech programs,",,,,,,
134101:49,"uh, the state of wisconsin, as a matter of fact, uh, started [SOME] litigation against illinois because of the air pollution we were getting .",,,,,,
81929:47,"an, and while, while there are [SOME] advantages to that, there's less time spent outside making it look nice and taking care of things.",,,,,,
149485:72,"and especially in this election year, i think that, uh, there ought  to be so-, at least [SOME] conversation about what we are supposed  to do  about this.",,,,,,
13411:17,"and that is that [SOME] of the organizations sell their mailing lists which i think  is a, is an invasion of privacy.",,,,,,
110398:27,"i found when i did do [SOME] work  when my son was young , it was like contract work,",,,,,,
32577:41,"next year i was planting [SOME] broccoli and, and [SOME] of those, they're called  cabbage,  cabbage loppers, or whatever.",,,,,,
83198:48,"if you don't refute it, as he didn't, there must be [SOME] truth to the matter, see.",,,,,,
74301:11,"i see [SOME] flickers of, of, uh, of good directions turning,",,,,,,
9608:21:00,he took a car battery and [SOME] wire and two washers one time and made a welder.,,,,,,
160993:10,"there are [SOME] smart ones out there,",,,,,,
140815:71,"you know, maybe you nee-, you can get it signed  up this spring or summer for [SOME] of the dog obedience classes.",,,,,,
31489:41,"on the other hand, um, i think there's certainly [SOME] professions that  ought  to be tested  because of the, of their responsibility for the public welfare, and certainly people in, uh, industries, well, the transportation industry, for spe-, uh, you know, specifically.",,,,,,
43407:11,i know [SOME] friends who  went  to see it.,,,,,,
161619:23,i'd like  to do [SOME] sailing.,,,,,,
121023:37,"saint augustine, uh with a little bermuda mixed in in [SOME] of the sunny areas",,,,,,
113475:14,"we drive by [SOME] houses  everyday that  have big signs,",,,,,,
31254:36,and i would imagine their learning disabilities are quite large in [SOME] cases.,,,,,,
108975:9,and probably [SOME] yogurt was in there.,,,,,,
74324:8,"and, [SOME] people just don't have it.",,,,,,
171296:110,"but, the thing is too, maybe they need more of a, i don't know, more of a expert types to, to be on [SOME] of these jury cases because most time you just pick, you know, joe blow or whoever and a good citizen or whoever an-, and call them in.",,,,,,
129004:16,"but, did they have [SOME] pretty good special effects.",,,,,,
55311:27,"but on a highly populated area, like [SOME] of the soviet cities would be, with the weaponry that 's attached  on those things, there is no place to hide .",,,,,,
136180:24,"i mean, we still have [SOME] highways closed ,",,,,,,
31917:13,"and we made [SOME] really nice christmas wreaths with, uh, dried red flowers and dried white flowers and, uh, eucalyptus.",,,,,,
73173:67,"so, they've got quite a bit more motivation i think  to get paid  then, [SOME] of the others do.",,,,,,
142828:81,"and i think you're probably right, that they, that they need some, you know, [SOME] changes in, uh, pitching coach, maybe",,,,,,
19999:14,"um, well, [SOME] history, books are pretty scary,",,,,,,
99236:8,"because [SOME] of the teachers i know  wear, uh, dress up jeans, not sloppy looking jeans but tapered jeans that they've had  dry cleaned  so they have got the crease",,,,,,
14637:17,"and then they're [SOME] sections kind of in the corner areas,",,,,,,
49551:24,"and it had some, [SOME] nice features.",,,,,,
16318:47,"and they, they mumblex they go  melt [SOME] chocolate chips,.",,,,,,
80333:17,"you know, how [SOME] older women will get the big bulge right in the middle .",,,,,,
90230:11,"he had [SOME] accomplices that  were kind of suspect,",,,,,,
156650:7,"and [SOME] of them are our problems,",,,,,,
7285:11:00,i made [SOME] afghans and that kind of stuff.,,,,,,
136539:14,"i mean, [SOME] nights it's just real, real quiet.",,,,,,
115490:21,"and even like reading [SOME] new age things, things that i don't quite believe in ,",,,,,,
67466:21,they want  to put [SOME] equipment on their bike and go for a tour.,,,,,,
73538:38,"i think that might be part of the problem with [SOME] people. you know,",,,,,,
80218:50,"and i, when i'd gotten back  i had gotten [SOME] sun that day,",,,,,,
89180:32,"i, i was involved in some, uh, oh, alumnae recruiting, uh, here in town, uh, recently, uh, well last year.",,,,,,
6607:30:00,"because from what i understand , from [SOME] of the guys i know , you know, crime, uh, is punishable, just almost, uh, instantly and public,",,,,,,
2180:39:00,"so we have, both of us have [SOME] money in an i r a that we're also trying  to figure ,",,,,,,
138349:36,"but i kind of, i liked it [SOME] ways",,,,,,
57069:61,"and, uh, he makes a very, uh, passionate, good argument for why you don't want [SOME] things decided  by democratic process ,",,,,,,
167037:72,"uh, but, if that's the case, if the business is responsible for  policing themselves, then i think [SOME] well defined mechanisms need  to be in place so that, uh, the opportunity f-, to forget that you owe sales tax for something, uh, can be avoided .",,,,,,
15021:56,"i've, i've talked to [SOME] who 's really had [SOME] bad experience",,,,,,
136110:19,i think he has [SOME] interesting things on it.,,,,,,
37846:61,"not if you can read or write, or do, or un-, understand [SOME] science.",,,,,,
84152:34,so i just cut the leaves off and transplant and put [SOME] other plants down. because i want them to come back up next year.,,,,,,
156896:23,"i think i've seen [SOME] statistics that  say that, uh, it 's more expensive  to kill somebody than to keep them in prison for life.",,,,,,
23994:24,use the same hoi sin sauce and [SOME] of the frozen mixed vegetables.,,,,,,
152067:34,"unless you, unless you have [SOME] vacation time or some, [SOME] sick leave or whatever, um, you kind of have  to finagle your way around  to get that time.",,,,,,
105043:10,"i got [SOME] good recipes from them sometimes,",,,,,,
96042:48,"i mean it was, it was just almost laughable in [SOME] instances that, you know,",,,,,,
126455:10,"uh, [SOME] of that unfortunately is legal.",,,,,,
172225:11,"i have [SOME] games , of course, which i play  on there",,,,,,
63417:44,and i think they're working on  building a jogging track and [SOME] other things.,,,,,,
137794:5,some of these muddy driveways could use it around here.,,,,,,
99291:5,"some of those male coaches, that might really,",,,,,,
39753:27,"cause, we have some, [SOME] local ones.",,,,,,
130514:28,"and i mostly went to germany and visited [SOME] friends of my family and, uh, hung out with them, worked a bit on one of their farms and also went to a youth camp.",,,,,,
164352:16,i think in [SOME] cases it  doesn't matter if it's a deterrent or not.,,,,,,
56072:31,"and they, they've started [SOME] recycling campaigns that  a year before that had been turned down  because they said, well, it's not feasible,",,,,,,
119842:10,"we bought [SOME] walkie-talkies a couple of years ago for christmas,",,,,,,
157934:65,"well, i do think with working parents it is, i mean, there are [SOME] real issues here. um, that i think, um,",,,,,,
14969:24,i guess i've had [SOME] good experience and [SOME] bad experience with them.,,,,,,
145536:63,"i, in fact, i've, i've even, uh, heard [SOME] people that  have applied for credit cards with much less, uh rates and have paid off their, you know higher interest rate, uh cards and just sent them back, you know.",,,,,,
24962:14,"in, uh, [SOME] places, uh, you couldn't go to a public school.",,,,,,
146198:134,"well, one thing that i like  about this fabric painting thing is i can just make a t shirt and put a little ruffle around it and then, um, cut out a little pattern  from the material, from [SOME] material, like flowers or something, and make, um, a design or, you know, a little arrangement or something on the shirt and, you know, fuse it on with heat and bond, or whatever and then paint around it.",,,,,,
123419:8,and [SOME] paper or something in the super dome up in the roof caught on fire.,,,,,,
120455:28,"and they had, uh, [SOME] names, [SOME] companies that  sold mustang parts,",,,,,,
92861:25,"and i guess maybe there are [SOME] parts of that,",,,,,,
84205:26,"the blooms  are, on [SOME] of them is yellow, purple, white. just all different colors.",,,,,,
27780:99,"but when i do play, uh, and begin  to reacquire skills  i inevitably fall in love with country western music which  tends  to be in [SOME] ways easy to play  for a, for a new piano player.",,,,,,
112989:20,"but, but [SOME] people don't have a choice.",,,,,,
134228:135,"but, i, um, tend to all the, planting the annuals and, and the spraying and, um,  taking care of them and maybe putting flowers in, you know, throughout that season, and later on maybe planting [SOME] mums and that kind of stuff and, um, any kind of decorating for the holidays, you know,",,,,,,
155148:17,we could talk about [SOME] of the long range goals,,,,,,
77309:26,"what do you think  are [SOME] current trends in, uh, the way families spend time together , based on what you've seen .",,,,,,
158550:31,"and it must have reflected, uh, uh, [SOME] awful good, uh, diplomacy on the part of the u s.",,,,,,
78394:33,"i've become very aware of different political views because [SOME] of the things we have  to discuss  are very politically motivated or whatever,",,,,,,
108182:40,i guess you have  to take [SOME] things and leave [SOME] things.,,,,,,
168217:7,"and [SOME] of it, sometimes it's serious",,,,,,
57861:27,"um, looking back, like maybe [SOME] of the things that i know  now, i, i'm not sure i do believe it was worth the cost in dollars and lives.",,,,,,
88001:41,"that would provide, uh, possibly [SOME] relief there to utilize [SOME] of the property taxes for other things, see.",,,,,,
149669:184,"um, what  really bothers me is it just seems like if, if anyone were  to say, you know, well i'm going  to raise taxes and cut the budget and we're mumblex, we're going  to have  to do [SOME] unpopular things, i mean, he wouldn't have a chance of getting elected .",,,,,,
73755:84,"people are being a little more, oh, i don't know, a little le-, a little less bigoted in [SOME] ways,",,,,,,
113957:66,"man our cr-, our, uh, prisons are so crowded that, uh, they can commit [SOME] pretty serious crimes and be set  free within a year to two.",,,,,,
35674:29,and so she's going  to get [SOME] money for that and take [SOME] money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low.,,,,,,
134169:64,"maybe to you and i who  have grown up in [SOME] in, uh, uh, [SOME] more beautiful parts of the country, uh, i think that, that, uh, we become a little more aware , uh, rather quickly of, of what 's happening with air pollution and how, uh, how horrible it really is .",,,,,,
164073:37,"and we weren't aware of it, and just slipped on [SOME] black ice and went into another car,",,,,,,
165280:27,well it sounds like you've had [SOME] good experiences with that,,,,,,
106437:19,but i think that at [SOME] times it can be the right thing to do,,,,,,
14653:39,"and i went because my dad can usually get a hold of [SOME] free tickets, because a lot of those doctors have season tickets,",,,,,,
169898:50,"do you think that in the case of the one that you've actually had [SOME] experience with , that the people who  operate it seem  to have, what you'd perceive of  as genuine concern.",,,,,,
166634:38,"oh, here's  an easy way to make [SOME] money .",,,,,,
98932:25,"that, those are [SOME] important points.",,,,,,
166971:48,"um, s-, s-, naturally some, [SOME] things you just can't find  in your local k-mart or, or, uh, bryn mawr stereo dealer.",,,,,,
6395:54:00,"well, you know, t i, you know, t i offers [SOME] good stuff",,,,,,
24421:69,"and it, and if it's possible even get [SOME] experience at it or at least watch [SOME] people do it.",,,,,,
30438:27,"and, you know, it's got [SOME] stuff on it.",,,,,,
165750:14,"i've driven some, uh, tauruses  over the last couple of years when i've been on business trips . uh, as rental cars.",,,,,,
46244:16,"some, [SOME] places do have guard gates that you have  to get through , or electronic access gates and things like that.",,,,,,
15261:95,"i think that maybe that's why [SOME] people do it  is, uh, to see the other cultures or, you know and [SOME] of that.",,,,,,
89580:13,and i enjoy [SOME] of the michael j. fox movies.,,,,,,
137317:74,"do they still have the, uh, the scenic, uh, roadways that  cut through the center of [SOME] of those trees.",,,,,,
3226:17:00,"like, give me [SOME] examples.",,,,,,
94280:31,"for all the inside parts you brown hamburger and put some, um, tomato sauce in it,",,,,,,
96724:27,"so, there are some, [SOME] strides  to be made  there.",,,,,,
171931:87,"that you miss   sitting home in your parlor, you know, uh, with, with a six pack of beer and some, uh, potato chips, you know",,,,,,
48103:10,they need [SOME] attention.,,,,,,
38063:54,"it's basically just data entry and running, you know, some, [SOME] software",,,,,,
29177:102,"they need  to put [SOME] sternness back into the, into the teachers and let them be able  to, uh, get the old whip out and get [SOME] discipline.",,,,,,
40705:25,"we all need that time, just [SOME] quiet time  to wind down from the day .",,,,,,
6414:31:00,"uh, i can see some, [SOME] potential changes that  probably are, are, would not cost very much but might, uh, make things a little easier. such as offering a, a smorgasbord. having a larger variety of benefits",,,,,,
166085:182,"and then, sometimes i, i often, uh, find that maybe there's so many different things available to us. yo-, a microwave, a v c r, a answering machine a, you know, a special, a dishwasher, uh, a refrigerator and [SOME] of those items, um, for the, for the, uh,",,,,,,
138155:36,and i kind of drew up [SOME] simple plans to make [SOME] book shelves,,,,,,
85965:39,"and, and, uh,, i think [SOME] different things  could come from what 's happened , than what we expect .",,,,,,
38581:37,but that has a little bit  to do with [SOME] of the things that i read .,,,,,,
27808:28,i find it  very interesting that [SOME] television shows that i enjoy  i particularly like the music.,,,,,,
159110:25,"and i think maybe that avoids [SOME] of these totally ridiculous, you know, like millions and millions of dollars.",,,,,,
138174:28,"and, uh, sounds like you got [SOME] real nice tools, too.",,,,,,
171967:54,"i, i kind of agree with that, because i think in [SOME] cases, uh, the jury may not even have, the information about other crimes the person has committed .",,,,,,
53690:14,"you've got [SOME] kids that 'll pick up on it in the first three minutes you're talking about it ,",,,,,,
25010:18,"uh, we also have [SOME] two year college.",,,,,,
8884:22:00,so i guess i get [SOME] of both.,,,,,,
82021:22,"um, we've actually had [SOME] warnings in, uh, raleigh uh, on air pollution.",,,,,,
138291:137,"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and [SOME] of those things that  would make, uh, [SOME] pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth",,,,,,
74560:83,"and then i would provide, uh, use the money that we've paying them   to, uh, provide [SOME] special help in training and particularly, uh, mentor teachers  to work with the beginning teachers and the teachers who  may have been at it a long time but have been making the same mistakes for a long time.",,,,,,
19161:75,"the evidence is that, uh, you know, he's, he's let some, [SOME] stuff  go, you know, the east german situation.",,,,,,
106391:27,this is going  to give me [SOME] more places to go .,,,,,,
24959:32,"maybe we do, we need [SOME] more catholic schools,",,,,,,
85193:35,"likewise, we, uh, we do [SOME] projects every now and then.",,,,,,
121941:10,"they have [SOME] delicious, delicious things,",,,,,,
147067:15,"i know that [SOME] of the schools they have, uh, country western day or something like that one, you know, or tacky day,",,,,,,
143578:37,"you must see kids with real significant problems, uh, in [SOME] cases.",,,,,,
123812:31,"uh, it, there's [SOME] trees like the oaks,",,,,,,
167299:10,they had [SOME] property there,,,,,,
103701:14,"we'll have [SOME] interesting discussion, i guess .",,,,,,
69750:37,"so you ha-, you have been to [SOME] family reunions, perhaps.",,,,,,
121775:50,"um, maybe [SOME] rolls and, um, i guess  some, uh, [SOME] rice or something like that.",,,,,,
24421:47,"and it, and if it's possible even get [SOME] experience at it or at least watch [SOME] people do it.",,,,,,
83966:23,it was starting  to burn [SOME] oil.,,,,,,
157049:37,"well, i, i think on [SOME] of it, you have  to say someone's responsible for his actions.",,,,,,
46132:24,"if you get  to watch [SOME] of these,",,,,,,
108856:37,"you can't understand what they're saying  on [SOME] of those songs which  probably is just as well on [SOME] of them, too.",,,,,,
37616:97,"it seems that what you really need  to do   to win though, is to have a team that  has reasonable talent and has [SOME] people that  have, have, have real breakthrough years.",,,,,,
147613:4,some people say oh the boys shouldn't have  to do those jobs. the inside jobs.,,,,,,
174455:135,"the only commitments that they're interested in  making  or even talking about  are ones for flash value like, uh, the trip to mars. which  is, would, would produce [SOME] useful scientific research and so forth,",,,,,,
7265:10:00,"we did [SOME] remodeling when we bought a house ,",,,,,,
99956:17,"christmas time, uh, [SOME] of our relatives would come up from alabama,",,,,,,
170937:25,"and they finding, in [SOME] cases they're finding it 's just not worth it to work because it's all going out in daycare.",,,,,,
8865:67,but one of the things that i do  when i've got [SOME] spare time  is i do [SOME] woodworking.,,,,,,
58800:5,"some of the stuff is good,",,,,,,
116197:36,"uh, there are supposed  to be, uh, [SOME] people f-, moving down here from colorado springs for t i.",,,,,,
109040:25,"we, we had [SOME] friends over as recently as saturday night",,,,,,
74797:57,"i measured it one time, because i was, uh, we had saw [SOME] termites",,,,,,
7091:13:00,"and, then, [SOME] people they get so wrapped up in them that they find, you know, one day they find, wow, i didn't realize i had this much, you know, i'd spent this much money.",,,,,,
148456:26,"i, i like [SOME] of it, um,",,,,,,
142083:38,"some, uh, you know, i have [SOME] good shots and [SOME] bad shots.",,,,,,
57651:63,"i'm convinced that the small v eight like the, the mustang's original two eighty-nine or [SOME] of the chevy two eighty-threes, were good little v eight engines that  were not gas guzzlers",,,,,,
7526:63,the elections where they have that topic  seem  to be a little bit better  attended than [SOME] of the other ones.,,,,,,
68658:19,"but, if there are [SOME] people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for [SOME] people.",,,,,,
16570:13,"and, um, [SOME] people don't like that, that, film on the pudding",,,,,,
8867:13:00,"and i made some, um, candle sconces that you hang  on the...",,,,,,
125063:17,"and then, um, [SOME] other credit cards, like store credit cards, you know, i do have them up there a little bit,",,,,,,
121793:56,"you know, i want to, i want  to throw [SOME] charcoal on the grill and, and throw a steak  on there and [SOME] baked potatoes and stuff like that",,,,,,
154774:35,"and i think that keeps a lot, [SOME] people from  exercising.",,,,,,
87654:69,"i guess [SOME] of the best things i've ever had , um, i, [SOME] of them were just hors d'oeuvres, you know.",,,,,,
62771:99,"and i thought well, if i had, uh, a nic-, a nice little, um, tape recorder, you know, so that i could put [SOME] good music on in there for her every once in a while. and then also so that i can, uh, uh, copy, uh, parts off, i, i do [SOME] musicals and things like this and if i can copy sections off that i can use  someplace so i figured well this will be good.",,,,,,
163289:195,"and i, i guess i'll do this for, i was doing this for, actually, i was going  to do it for my son so that he could, uh, he, he's in high school, so that he could make [SOME] money.",,,,,,
37263:24,"i mean, i've done [SOME] of both.",,,,,,
32953:43,"and i've got [SOME] broccoli, uh, onions some, [SOME] radishes and, uh, uh, beets.",,,,,,
23634:28,i imagine in argentina you've got [SOME] great foods.,,,,,,
108521:93,"uh, lot of the shows that, that i've liked  in the past, like, uh, oh, golden girls and, [SOME] of them tend  to get so risque,",,,,,,
67780:49,"and the dog was being house sit , or dog sit , whatever, by [SOME] friends of mine down the street,",,,,,,
168606:48,"not so much because, uh, it's bad per se, although there is [SOME] pretty crappy programming",,,,,,
27798:15,but he does have [SOME] things.,,,,,,
120747:13,something giving you [SOME] affection as well.,,,,,,
47856:7,"and [SOME] of them don't,",,,,,,
114202:81,"and, uh, they, they promote service on the part of the kids to, to, uh, [SOME] of those people.",,,,,,
23630:11,what are [SOME] of your favorite foods .,,,,,,
87467:20,"uh, she can't eat [SOME] cream cheese.",,,,,,
168976:57,"and they, they at least have, now they have at least [SOME] marginally marketable skills and more discipline.",,,,,,
166762:101,"because, uh, i th-, you know, i think for a lot of people it really is the decision of, do they still have [SOME] of their life left.",,,,,,
123797:41,"i was up, i was up there cutting [SOME] firewood this weekend,",,,,,,
63076:40,and then i went to colorado springs the next week  to do [SOME] training at the t i up there.,,,,,,
54840:11,"how about [SOME] of the ads,",,,,,,
18547:110,"my, my wife and i, we planted on the, on the south side of our, of our house we planted [SOME] gardenias.",,,,,,
7017:34:00,"well the, the other thing [SOME] people are not aware of , is they will use their a, their credit card like their visa or their mastercard for cash",,,,,,
65258:45,"and i hope we, hope we did them [SOME] good, uh, on their little computer dealy.",,,,,,
15216:13,"like i do [SOME] volunteer work here and there,",,,,,,
13420:11,"i get [SOME] of these things  in the mail that i wonder, where in the world did they get my address  or where did they get my name  .",,,,,,
80877:63,so you really don't have  to be disrupted for more than about a weekend. if you have [SOME] help.,,,,,,
38947:33,"i was, i was making [SOME] little things for christmas,",,,,,,
154517:48,"and, uh, i was kind of interested  to hear cause they had [SOME] people from the e p a and lots of different places",,,,,,
105338:42,"uh, [SOME] people just, uh, i've heard [SOME] people just talking in our group of friends that they just feel it's an invasion of privacy and things like that,",,,,,,
36611:16,"um, up here [SOME] of the state parks are really nice",,,,,,
22419:43,you didn't get a big kick out of  killing them like [SOME] people do.,,,,,,
54865:37,"so, we're probably going  to like rent those [SOME] time and then try  to see godfather part three somewhere.",,,,,,
171972:37,"uh, i, i think that in [SOME] cases that's considered  to prejudice the current case",,,,,,
82503:72,"um, i, i was taking a voice i o class and, um, and actually doing [SOME] research,",,,,,,
170188:22,we actually do [SOME] work with [SOME] people down at georgia tech.,,,,,,
19360:7,"and [SOME] of the countries that  were forced  in at th-, later dates is the three baltic countries, you know,  came in, in the forties,",,,,,,
77593:15,what  are [SOME] of the things that you did  with your children when they were growing up .,,,,,,
166799:28,"at least, i mean i think [SOME] nursing homes do that.",,,,,,
17008:76,"i mean, pretty much a lot of people would know about it, you know, and, and know [SOME] of the different things about it",,,,,,
118769:33,"i've, i've heard [SOME] horrible, horrible stories about high, high school teachers",,,,,,
148372:13,and i like [SOME] of their songs.,,,,,,
83450:9,"and indeed [SOME] juries are no longer twelve people,",,,,,,
30439:48,"it's got a nice little word processing software on it, you know, and [SOME] budgeting type things and stuff.",,,,,,
46441:47,"i went to the far east, uh, back in october  to do [SOME] training for t i",,,,,,
9762:24:00,even in for kids watching [SOME] of it can be a little violent sometimes and stuff.,,,,,,
163122:31,"i think at each wal-mart, they had [SOME] recycling dumpsters and things like that, which  now,",,,,,,
106565:53,"well that's, yeah, that's right that the children have [SOME] responsibility   too, to their parents and such, to help decide what s the right thing.",,,,,,
154338:10,i like [SOME] country music.,,,,,,
138340:30,"i mean i'm sure there's [SOME] good ones,",,,,,,
19284:42,"and i think he's actually, honestly trying  to do [SOME] change.",,,,,,
98822:22,"well, th-, [SOME] of that,",,,,,,
18087:40,i haven't watch any other ones on t v. just on [SOME] of the tapes.,,,,,,
103868:139,"i mean, i'm, i'm not saying i, i think capital murder or capital punishment is the perfect solution in every case, you know, especially because there are [SOME] cases when you just don't know",,,,,,
130065:25,"well, i guess there are [SOME] places, uh, in the north, in particular that, uh,  have a real definite way of encouraging you to recycle",,,,,,
